epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,220.24,0.94563,0.70046,1.00703,0.99696,0.9905,0.99494,0.83682,0.62389,0.40543,0.86386,0.0003332,0.0003332,0.0670132
2,448.336,0.72054,0.48268,0.91627,0.99648,0.99105,0.99493,0.89004,0.48062,0.33029,0.834,0.000653336,0.000653336,0.034
3,673.143,0.65573,0.43782,0.8958,0.99698,0.98967,0.99492,0.89945,0.44406,0.30317,0.8297,0.000960272,0.000960272,0.000973605
4,873.247,0.61329,0.40189,0.88029,0.99849,0.99085,0.99498,0.91162,0.41797,0.28217,0.81581,0.0009406,0.0009406,0.0009406
5,1100.98,0.58079,0.37936,0.87068,0.996,0.99495,0.99499,0.92313,0.39823,0.26722,0.81514,0.0009208,0.0009208,0.0009208
6,1330.58,0.55473,0.36505,0.86649,0.99548,0.99121,0.99495,0.92456,0.386,0.26185,0.81098,0.000901,0.000901,0.000901
7,1590.42,0.54457,0.35479,0.86416,0.9955,0.9954,0.99498,0.9232,0.39499,0.25239,0.81127,0.0008812,0.0008812,0.0008812
8,1836,0.52165,0.33789,0.85788,0.99563,0.992,0.99496,0.92879,0.37164,0.24187,0.80715,0.0008614,0.0008614,0.0008614
9,2047.5,0.51042,0.3318,0.85825,0.99539,0.9965,0.99499,0.93913,0.34707,0.23005,0.80335,0.0008416,0.0008416,0.0008416
10,2262.73,0.50052,0.32695,0.85182,0.99699,0.99485,0.99498,0.93863,0.35119,0.22606,0.80111,0.0008218,0.0008218,0.0008218
11,2475.14,0.48711,0.31675,0.84726,0.995,0.99406,0.99458,0.94267,0.34923,0.23205,0.80423,0.000802,0.000802,0.000802
12,2751.54,0.48374,0.31295,0.84969,0.99599,0.99407,0.99499,0.94513,0.32781,0.21133,0.7984,0.0007822,0.0007822,0.0007822
13,3027.21,0.46993,0.30477,0.84459,0.99849,0.9944,0.99498,0.95091,0.31947,0.20966,0.7961,0.0007624,0.0007624,0.0007624
14,3299.57,0.45769,0.29568,0.84002,0.99777,0.9955,0.99498,0.95355,0.30938,0.20625,0.79411,0.0007426,0.0007426,0.0007426
15,3585.15,0.4494,0.29331,0.84077,0.99643,0.997,0.99497,0.95214,0.31419,0.20461,0.79342,0.0007228,0.0007228,0.0007228
16,3874.56,0.4486,0.28906,0.84233,0.99699,0.99388,0.99495,0.95008,0.3197,0.2021,0.7936,0.000703,0.000703,0.000703
17,4146.95,0.44985,0.28912,0.84039,0.99599,0.99375,0.99494,0.95477,0.30793,0.19879,0.7925,0.0006832,0.0006832,0.0006832
18,4423.5,0.4432,0.28393,0.84232,0.99799,0.99387,0.99498,0.95896,0.29564,0.18814,0.79226,0.0006634,0.0006634,0.0006634
19,4692.01,0.43169,0.27943,0.83518,0.9964,0.995,0.99496,0.95955,0.3007,0.18742,0.79126,0.0006436,0.0006436,0.0006436
20,4951.69,0.42542,0.27273,0.83535,0.99651,0.995,0.99496,0.95715,0.29756,0.18818,0.79274,0.0006238,0.0006238,0.0006238
21,5215.11,0.43361,0.27738,0.83708,0.99649,0.99441,0.99497,0.96049,0.28701,0.18237,0.78786,0.000604,0.000604,0.000604
22,5479.55,0.41762,0.26764,0.83161,0.99634,0.995,0.99495,0.96267,0.28002,0.17873,0.78709,0.0005842,0.0005842,0.0005842
23,5750.04,0.41013,0.26174,0.83193,0.99755,0.995,0.99498,0.96382,0.28009,0.17305,0.78702,0.0005644,0.0005644,0.0005644
24,5981.15,0.41079,0.26307,0.83336,0.99749,0.99424,0.99499,0.96362,0.28327,0.17978,0.78787,0.0005446,0.0005446,0.0005446
25,6195.23,0.40785,0.26133,0.83229,0.99486,0.9965,0.99497,0.96365,0.27947,0.17244,0.78783,0.0005248,0.0005248,0.0005248
26,6411.49,0.40134,0.25461,0.83013,0.99501,0.9962,0.99497,0.96477,0.27304,0.16885,0.78561,0.000505,0.000505,0.000505
27,6628.17,0.40105,0.25583,0.82968,0.99782,0.996,0.995,0.96583,0.27435,0.16999,0.78686,0.0004852,0.0004852,0.0004852
28,6854.5,0.39506,0.25164,0.82978,0.99878,0.996,0.99499,0.96718,0.27246,0.16801,0.78598,0.0004654,0.0004654,0.0004654
29,7069.99,0.39255,0.24788,0.82978,0.9995,0.9954,0.995,0.96698,0.26726,0.16405,0.78481,0.0004456,0.0004456,0.0004456
30,7282.91,0.38834,0.24621,0.82705,0.99896,0.996,0.99499,0.97003,0.26327,0.16073,0.78347,0.0004258,0.0004258,0.0004258
31,7497.14,0.38558,0.24535,0.82673,0.99894,0.997,0.995,0.96808,0.26302,0.16009,0.78383,0.000406,0.000406,0.000406
32,7712.54,0.38454,0.24229,0.82388,0.99844,0.995,0.995,0.96934,0.26407,0.15904,0.78321,0.0003862,0.0003862,0.0003862
33,7928.35,0.38297,0.23881,0.82812,0.9992,0.995,0.995,0.96987,0.2567,0.15415,0.78281,0.0003664,0.0003664,0.0003664
34,8145.4,0.3773,0.23975,0.82689,0.99888,0.995,0.995,0.97079,0.25682,0.15425,0.78308,0.0003466,0.0003466,0.0003466
35,8361.28,0.36949,0.23333,0.82538,0.99832,0.9965,0.995,0.97159,0.2535,0.15059,0.78179,0.0003268,0.0003268,0.0003268
36,8593.71,0.36901,0.23267,0.82278,0.999,0.99585,0.995,0.97113,0.25387,0.15084,0.78215,0.000307,0.000307,0.000307
37,8809.94,0.36463,0.22827,0.82419,0.99934,0.9965,0.995,0.9712,0.25068,0.14812,0.78183,0.0002872,0.0002872,0.0002872
38,9026.41,0.35994,0.22584,0.82139,0.999,0.99724,0.995,0.9714,0.25062,0.14948,0.78187,0.0002674,0.0002674,0.0002674
39,9243.28,0.3534,0.22404,0.82027,0.9995,0.99674,0.995,0.97299,0.25145,0.14754,0.78145,0.0002476,0.0002476,0.0002476
40,9467.76,0.35077,0.21965,0.81882,0.99982,0.9965,0.995,0.97359,0.2475,0.14553,0.78097,0.0002278,0.0002278,0.0002278
41,9710.65,0.29416,0.17808,0.78619,0.999,0.9969,0.995,0.97269,0.24927,0.14743,0.78163,0.000208,0.000208,0.000208
42,9932.47,0.29076,0.17686,0.78597,0.9985,0.99642,0.995,0.97231,0.24646,0.14381,0.78128,0.0001882,0.0001882,0.0001882
43,10146.3,0.28541,0.17208,0.78749,0.99934,0.997,0.995,0.97261,0.24315,0.1422,0.77996,0.0001684,0.0001684,0.0001684
44,10360.5,0.2811,0.16925,0.78157,0.99999,0.9965,0.995,0.97216,0.24207,0.14247,0.77962,0.0001486,0.0001486,0.0001486
45,10575.4,0.2775,0.16531,0.78328,1,0.99589,0.995,0.97374,0.2416,0.14038,0.77932,0.0001288,0.0001288,0.0001288
46,10799.6,0.27523,0.16509,0.78151,0.9998,0.9965,0.995,0.97377,0.24106,0.14106,0.77937,0.000109,0.000109,0.000109
47,11015.2,0.27267,0.16361,0.7826,0.9995,0.99679,0.995,0.97322,0.24089,0.1412,0.77952,8.92e-05,8.92e-05,8.92e-05
48,11229,0.26726,0.15747,0.78259,0.9995,0.99678,0.995,0.97503,0.23821,0.13727,0.77926,6.94e-05,6.94e-05,6.94e-05
49,11443.2,0.2617,0.1551,0.78221,0.9995,0.99665,0.995,0.97435,0.23682,0.13635,0.77887,4.96e-05,4.96e-05,4.96e-05
50,11656.6,0.25859,0.15291,0.77917,1,0.99591,0.995,0.97517,0.23681,0.13596,0.77908,2.98e-05,2.98e-05,2.98e-05
